Centro Nacional de Control de Energia
Precios Marginales Locales del MDA 
Sistema Interconectado Nacional
Reporte diario
Fecha: 02/Septiembre/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 01/Septiembre/2020 15:31:52 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
1,01AAN-85,698.14,673.02,57.97,-32.85
2,01AAN-85,647.4,629.94,53.31,-35.86
3,01AAN-85,644.5,628.58,50.77,-34.85
4,01AAN-85,615.66,602.51,51.33,-38.18
5,01AAN-85,585.28,576.03,49.61,-40.36
6,01AAN-85,589.66,577.14,50.83,-38.31
7,01AAN-85,626.44,603.2,55.4,-32.17
8,01AAN-85,671.17,643.87,59.31,-32.01
9,01AAN-85,668.46,636.95,63.19,-31.68
10,01AAN-85,618.31,573.94,59.36,-14.99
11,01AAN-85,601.5,573.94,55.46,-27.9
12,01AAN-85,634.67,606.61,54.61,-26.55
13,01AAN-85,648.36,617.25,57.34,-26.23
14,01AAN-85,638.28,607.3,57.76,-26.79
15,01AAN-85,668.51,634.55,58.9,-24.94
16,01AAN-85,766.79,713.48,78.85,-25.54
17,01AAN-85,722.53,679.17,74.33,-30.98
18,01AAN-85,796.56,730.87,79.84,-14.16
19,01AAN-85,744.48,698.36,74.99,-28.87
20,01AAN-85,709.61,672.52,70.71,-33.63
21,01AAN-85,750.98,698.68,82.21,-29.91
22,01AAN-85,758.49,705.85,83.98,-31.34
23,01AAN-85,817.6,759.03,84.8,-26.23
24,01AAN-85,741.48,699.16,70.83,-28.5
1,01AAP-85,961.69,673.02,39.32,249.34
2,01AAP-85,940.3,629.94,38.15,272.2
3,01AAP-85,931.16,628.58,38.04,264.54
4,01AAP-85,931.87,602.51,39.59,289.77
5,01AAP-85,921.27,576.03,38.9,306.34
6,01AAP-85,907.83,577.14,39.9,290.79
7,01AAP-85,889.83,603.2,42.39,244.25
8,01AAP-85,929.75,643.87,42.81,243.07
9,01AAP-85,932.82,636.95,46,249.87
10,01AAP-85,773.59,573.94,43.35,156.3
11,01AAP-85,910.88,573.94,45.98,290.96
