Centro Nacional de Control de Energia
Precios Marginales Locales del MDA 
Sistema Interconectado Nacional
Reporte diario
Fecha: 03/Septiembre/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 02/Septiembre/2020 15:22:32 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
1,01AAN-85,773.65,717.98,66.05,-10.38
2,01AAN-85,765.07,711.58,62.14,-8.64
3,01AAN-85,681.16,641.68,54.59,-15.11
4,01AAN-85,680.11,641.9,54.22,-16.01
5,01AAN-85,652.93,621.46,51.89,-20.42
6,01AAN-85,690.05,651.45,55.29,-16.69
7,01AAN-85,800.81,735.32,66.33,-.84
8,01AAN-85,794.47,730.68,69.06,-5.27
9,01AAN-85,671.54,627.13,61.27,-16.86
10,01AAN-85,699.73,651.13,66.19,-17.59
11,01AAN-85,773.17,705.19,74.4,-6.41
12,01AAN-85,689.67,638.31,66.55,-15.19
13,01AAN-85,782.22,712.86,76.87,-7.51
14,01AAN-85,775.89,713.87,74.14,-12.12
15,01AAN-85,739.7,685.74,70,-16.03
16,01AAN-85,781.69,717.78,72.75,-8.83
17,01AAN-85,822.53,742.91,79.62,0
18,01AAN-85,803.35,726.72,76.64,0
19,01AAN-85,795.74,728.93,75.3,-8.49
20,01AAN-85,785.27,721.86,74.26,-10.85
21,01AAN-85,852.33,764.41,87.92,0
22,01AAN-85,935.59,836.74,98.86,0
23,01AAN-85,979.24,881.1,98.14,0
24,01AAN-85,910.36,825.05,85.31,0
1,01AAP-85,842.49,717.98,45.88,78.63
2,01AAP-85,822.98,711.58,45.91,65.5
3,01AAP-85,798.4,641.68,42.2,114.53
4,01AAP-85,805.5,641.9,42.27,121.33
5,01AAP-85,817.14,621.46,40.91,154.77
6,01AAP-85,825.93,651.45,43.48,131.01
7,01AAP-85,793.35,735.32,51.46,6.58
8,01AAP-85,821.24,730.68,48.73,41.83
9,01AAP-85,803.52,627.13,42.7,133.69
10,01AAP-85,838.13,651.13,46.88,140.12
11,01AAP-85,810.46,705.19,54.2,51.07
12,01AAP-85,807.04,638.31,47.71,121.02
13,01AAP-85,829.29,712.86,56.59,59.84
14,01AAP-85,861.4,713.87,51,96.53
15,01AAP-85,859.49,685.74,47.33,126.43
16,01AAP-85,838.43,717.78,51.02,69.63
17,01AAP-85,800.3,742.91,57.39,0
18,01AAP-85,782.47,726.72,55.76,0
19,01AAP-85,849.17,728.93,53.63,66.61
20,01AAP-85,854.33,721.86,50.26,82.21
21,01AAP-85,820.22,764.41,55.81,0
22,01AAP-85,896.73,836.74,59.99,0
23,01AAP-85,941.6,881.1,60.5,0
24,01AAP-85,881.04,825.05,55.99,0
1,01ACC-85,831.38,717.98,35.76,77.65
2,01ACC-85,811.33,711.58,35.07,64.68
3,01ACC-85,786.97,641.68,32.2,113.1
4,01ACC-85,793.94,641.9,32.23,119.81
5,01ACC-85,805.24,621.46,30.95,152.84
