Centro Nacional de Control de Energia
Precios Marginales Locales del MDA 
Sistema Interconectado Nacional
Reporte diario
Fecha: 04/Septiembre/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 03/Septiembre/2020 15:41:17 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
1,01AAN-85,667.17,643.74,57.75,-34.32
2,01AAN-85,704.91,670.1,56.41,-21.6
3,01AAN-85,684.04,650.63,54.25,-20.85
4,01AAN-85,668.75,637.34,53.47,-22.06
5,01AAN-85,611.41,595.85,50.64,-35.08
6,01AAN-85,642.63,617.87,53.51,-28.75
7,01AAN-85,696.02,638.6,57.42,0
8,01AAN-85,716.3,655.45,60.85,0
9,01AAN-85,627.62,603.05,59.04,-34.48
10,01AAN-85,613.91,587.59,61.73,-35.41
11,01AAN-85,600.5,575.29,61.7,-36.49
12,01AAN-85,600.38,574.38,62.19,-36.18
13,01AAN-85,601.26,575.99,60.96,-35.69
14,01AAN-85,609.07,584.73,61.69,-37.35
15,01AAN-85,609.83,584.6,62.05,-36.82
16,01AAN-85,649.5,615.35,66.29,-32.14
17,01AAN-85,662.04,630.13,67.91,-35.99
18,01AAN-85,651.88,622.21,65.57,-35.9
19,01AAN-85,644.33,621.18,61.09,-37.93
20,01AAN-85,647.34,620.96,61.27,-34.89
21,01AAN-85,674.27,640.97,69.98,-36.67
22,01AAN-85,663.24,628.14,72.46,-37.36
23,01AAN-85,652.02,620.19,69.15,-37.32
24,01AAN-85,670.16,639.81,65.63,-35.28
1,01AAP-85,942.03,643.74,37.54,260.75
2,01AAP-85,873.3,670.1,39.1,164.1
3,01AAP-85,850.45,650.63,41.42,158.4
4,01AAP-85,845.99,637.34,41.03,167.62
5,01AAP-85,900.25,595.85,37.87,266.53
6,01AAP-85,877.1,617.87,40.8,218.44
7,01AAP-85,680.81,638.6,42.22,0
8,01AAP-85,698.59,655.45,43.15,0
9,01AAP-85,905.83,603.05,40.82,261.95
10,01AAP-85,910.53,587.59,42.18,280.75
11,01AAP-85,906.21,575.29,42.42,288.5
12,01AAP-85,904.19,574.38,42.91,286.91
13,01AAP-85,900.61,575.99,41.6,283.01
14,01AAP-85,922.29,584.73,41.44,296.12
15,01AAP-85,917.02,584.6,40.46,291.96
16,01AAP-85,913.88,615.35,43.66,254.87
17,01AAP-85,948.68,630.13,43.63,274.93
18,01AAP-85,937.18,622.21,42.23,272.73
19,01AAP-85,951.88,621.18,42.49,288.22
20,01AAP-85,926.33,620.96,40.35,265.03
21,01AAP-85,960.73,640.97,41.19,278.57
22,01AAP-85,952.66,628.14,40.75,283.76
23,01AAP-85,944.33,620.19,40.68,283.47
24,01AAP-85,947.86,639.81,40.1,267.95
1,01ACC-85,929.7,643.74,28.52,257.44
2,01ACC-85,860.76,670.1,28.64,162.01
3,01ACC-85,837.09,650.63,30.07,156.39
4,01ACC-85,832.62,637.34,29.79,165.49
5,01ACC-85,887.23,595.85,28.24,263.15
6,01ACC-85,863.56,617.87,30.03,215.66
7,01ACC-85,669.84,638.6,31.24,0
8,01ACC-85,687.43,655.45,31.98,0
9,01ACC-85,891.56,603.05,29.89,258.62
10,01ACC-85,896.89,587.59,31.79,277.51
11,01ACC-85,892.53,575.29,32.12,285.12
12,01ACC-85,890.5,574.38,32.54,283.59
13,01ACC-85,887.56,575.99,31.83,279.74
14,01ACC-85,908.98,584.73,31.55,292.7
15,01ACC-85,904.18,584.6,30.99,288.58
16,01ACC-85,901.18,615.35,33.91,251.92
17,01ACC-85,935.22,630.13,33.65,271.45
18,01ACC-85,924.22,622.21,32.74,269.27
19,01ACC-85,938.56,621.18,32.83,284.56
20,01ACC-85,914.43,620.96,31.81,261.66
21,01ACC-85,948.57,640.97,32.57,275.04
22,01ACC-85,941.04,628.14,32.74,280.16
