Centro Nacional de Control de Energia
Precios Marginales Locales del MDA 
Sistema Interconectado Nacional
Reporte diario
Fecha: 06/Septiembre/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 05/Septiembre/2020 15:11:32 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
1,01AAN-85,613.59,560.15,53.44,0
2,01AAN-85,584.91,536.23,48.68,0
3,01AAN-85,581.61,533.71,47.9,0
4,01AAN-85,581.44,533.38,48.06,0
5,01AAN-85,567.25,522.26,44.99,0
6,01AAN-85,569.64,523.28,46.36,0
7,01AAN-85,569.5,523.06,46.45,0
8,01AAN-85,568.19,520.16,48.03,0
9,01AAN-85,565.75,516.48,50.01,-.73
10,01AAN-85,546.13,495.48,50.64,.01
11,01AAN-85,535.89,483.94,51.95,0
12,01AAN-85,538.51,485.53,52.98,0
13,01AAN-85,547.43,492.8,54.63,0
14,01AAN-85,546.02,492.57,53.45,0
15,01AAN-85,544.85,491.74,53.11,0
16,01AAN-85,542.2,490.57,51.64,0
17,01AAN-85,553.62,499.97,53.66,0
18,01AAN-85,550.23,497.65,52.58,0
19,01AAN-85,573.06,516.9,56.15,0
20,01AAN-85,591.27,533.1,58.16,0
21,01AAN-85,626.46,561.04,65.43,0
22,01AAN-85,626.74,564.37,62.37,0
23,01AAN-85,620.38,558.98,61.4,0
24,01AAN-85,620.68,565.63,55.05,0
1,01AAP-85,591.95,560.15,31.8,0
2,01AAP-85,566.27,536.23,30.04,0
3,01AAP-85,564.77,533.71,31.06,0
4,01AAP-85,566.17,533.38,32.79,0
5,01AAP-85,553.25,522.26,30.98,0
6,01AAP-85,555.21,523.28,31.93,0
7,01AAP-85,555.13,523.06,32.08,0
8,01AAP-85,553.23,520.16,33.07,0
9,01AAP-85,550.93,516.48,34.85,-.4
10,01AAP-85,529.1,495.48,33.62,0
11,01AAP-85,518.33,483.94,34.39,0
12,01AAP-85,520.79,485.53,35.26,0
13,01AAP-85,529.99,492.8,37.19,0
14,01AAP-85,529.39,492.57,36.82,0
15,01AAP-85,527.21,491.74,35.47,0
16,01AAP-85,525.24,490.57,34.67,0
17,01AAP-85,535.53,499.97,35.56,0
18,01AAP-85,532.19,497.65,34.54,0
19,01AAP-85,553.17,516.9,36.27,0
20,01AAP-85,567.21,533.1,34.11,0
21,01AAP-85,596.75,561.04,35.71,0
22,01AAP-85,595.47,564.37,31.1,0
23,01AAP-85,593.24,558.98,34.25,0
24,01AAP-85,596.55,565.63,30.91,0
1,01ACC-85,585.38,560.15,25.23,0
2,01ACC-85,559.78,536.23,23.55,0
3,01ACC-85,558,533.71,24.29,0
4,01ACC-85,558.81,533.38,25.43,0
5,01ACC-85,546.06,522.26,23.8,0
6,01ACC-85,548.05,523.28,24.77,0
7,01ACC-85,547.71,523.06,24.66,0
8,01ACC-85,545.66,520.16,25.5,0
9,01ACC-85,543.09,516.48,27.22,-.6
10,01ACC-85,522.67,495.48,27.19,.01
11,01ACC-85,512.15,483.94,28.2,0
12,01ACC-85,514.46,485.53,28.92,0
13,01ACC-85,523.49,492.8,30.68,0
14,01ACC-85,523.07,492.57,30.5,0
15,01ACC-85,521.18,491.74,29.44,0
16,01ACC-85,518.92,490.57,28.36,0
17,01ACC-85,529.27,499.97,29.31,0
18,01ACC-85,525.87,497.65,28.22,0
19,01ACC-85,546.41,516.9,29.51,0
20,01ACC-85,561.06,533.1,27.96,0
21,01ACC-85,590.27,561.04,29.23,0
22,01ACC-85,588.96,564.37,24.59,0
23,01ACC-85,587.21,558.98,28.22,0
24,01ACC-85,589.89,565.63,24.26,0
1,01ACM-85,584.54,560.15,24.39,0
2,01ACM-85,558.98,536.23,22.75,0
3,01ACM-85,557.23,533.71,23.52,0
4,01ACM-85,558.11,533.38,24.73,0
5,01ACM-85,545.41,522.26,23.14,0
6,01ACM-85,547.19,523.28,23.91,0
7,01ACM-85,546.99,523.06,23.94,0
8,01ACM-85,544.85,520.16,24.69,0
9,01ACM-85,542.25,516.48,26.36,-.59
10,01ACM-85,521.85,495.48,26.36,.01
11,01ACM-85,511.29,483.94,27.35,0
12,01ACM-85,513.59,485.53,28.06,0
13,01ACM-85,522.47,492.8,29.67,0
14,01ACM-85,522.01,492.57,29.43,0
15,01ACM-85,520.14,491.74,28.4,0
16,01ACM-85,517.93,490.57,27.37,0
17,01ACM-85,528.05,499.97,28.08,0
18,01ACM-85,524.79,497.65,27.14,0
19,01ACM-85,545.29,516.9,28.39,0
20,01ACM-85,559.81,533.1,26.71,0
21,01ACM-85,588.92,561.04,27.88,0
22,01ACM-85,587.83,564.37,23.45,0
23,01ACM-85,585.85,558.98,26.86,0
24,01ACM-85,588.82,565.63,23.19,0
1,01ACN-85,586.06,560.15,25.92,0
2,01ACN-85,560.45,536.23,24.22,0
3,01ACN-85,558.7,533.71,24.99,0
4,01ACN-85,559.6,533.38,26.22,0
5,01ACN-85,546.9,522.26,24.64,0
6,01ACN-85,548.72,523.28,25.44,0
7,01ACN-85,548.53,523.06,25.48,0
8,01ACN-85,546.43,520.16,26.27,0
9,01ACN-85,543.89,516.48,28,-.59
10,01ACN-85,523.45,495.48,27.96,.01
11,01ACN-85,512.9,483.94,28.95,0
12,01ACN-85,515.24,485.53,29.71,0
13,01ACN-85,524.18,492.8,31.38,0
14,01ACN-85,523.75,492.57,31.18,0
15,01ACN-85,521.85,491.74,30.11,0
16,01ACN-85,519.6,490.57,29.04,0
17,01ACN-85,529.72,499.97,29.76,0
18,01ACN-85,526.41,497.65,28.76,0
19,01ACN-85,546.98,516.9,30.08,0
20,01ACN-85,561.46,533.1,28.36,0
21,01ACN-85,590.66,561.04,29.62,0
22,01ACN-85,589.41,564.37,25.04,0
23,01ACN-85,587.42,558.98,28.44,0
24,01ACN-85,590.44,565.63,24.81,0
1,01ACO-230,580.1,560.15,19.95,0
2,01ACO-230,554.75,536.23,18.52,0
3,01ACO-230,553.05,533.71,19.33,0
4,01ACO-230,553.55,533.38,20.17,0
5,01ACO-230,540.96,522.26,18.7,0
6,01ACO-230,542.77,523.28,19.49,0
7,01ACO-230,542.48,523.06,19.42,0
8,01ACO-230,540.48,520.16,20.32,0
9,01ACO-230,537.72,516.48,22.01,-.77
10,01ACO-230,517.46,495.48,21.97,.01
11,01ACO-230,506.78,483.94,22.84,0
12,01ACO-230,508.89,485.53,23.36,0
13,01ACO-230,517.76,492.8,24.96,0
14,01ACO-230,517.33,492.57,24.76,0
15,01ACO-230,515.8,491.74,24.05,0
16,01ACO-230,513.14,490.57,22.58,0
17,01ACO-230,524.13,499.97,24.16,0
18,01ACO-230,520.75,497.65,23.1,0
19,01ACO-230,540.96,516.9,24.06,0
20,01ACO-230,555.36,533.1,22.26,0
21,01ACO-230,583.97,561.04,22.93,0
22,01ACO-230,582.59,564.37,18.22,0
23,01ACO-230,581.29,558.98,22.3,0
24,01ACO-230,583.99,565.63,18.36,0
1,01ACS-230,580.4,560.15,20.25,0
2,01ACS-230,554.99,536.23,18.76,0
3,01ACS-230,553.33,533.71,19.62,0
4,01ACS-230,553.77,533.38,20.39,0
5,01ACS-230,541.07,522.26,18.81,0
6,01ACS-230,543.06,523.28,19.78,0
7,01ACS-230,542.74,523.06,19.69,0
8,01ACS-230,540.9,520.16,20.74,0
9,01ACS-230,537.93,516.48,22.27,-.81
10,01ACS-230,517.87,495.48,22.38,.01
11,01ACS-230,506.93,483.94,22.99,0
12,01ACS-230,508.83,485.53,23.3,0
13,01ACS-230,517.46,492.8,24.66,0
14,01ACS-230,516.8,492.57,24.22,0
15,01ACS-230,515.54,491.74,23.8,0
16,01ACS-230,512.88,490.57,22.31,0
17,01ACS-230,523.98,499.97,24.02,0
18,01ACS-230,520.72,497.65,23.07,0
19,01ACS-230,540.96,516.9,24.06,0
20,01ACS-230,555.35,533.1,22.25,0
21,01ACS-230,583.63,561.04,22.59,0
22,01ACS-230,582.58,564.37,18.21,0
23,01ACS-230,580.95,558.98,21.97,0
24,01ACS-230,584,565.63,18.37,0
1,01AGU-230,586.3,560.15,26.16,0
2,01AGU-230,560.83,536.23,24.61,0
3,01AGU-230,559.17,533.71,25.45,0
4,01AGU-230,560.37,533.38,26.99,0
5,01AGU-230,547.6,522.26,25.34,0
6,01AGU-230,549.63,523.28,26.35,0
7,01AGU-230,549.65,523.06,26.59,0
8,01AGU-230,547.69,520.16,27.53,0
9,01AGU-230,545.33,516.48,29.33,-.48
10,01AGU-230,524.57,495.48,29.09,.01
11,01AGU-230,513.87,483.94,29.93,0
12,01AGU-230,516.3,485.53,30.76,0
13,01AGU-230,525.36,492.8,32.56,0
14,01AGU-230,524.94,492.57,32.37,0
15,01AGU-230,522.98,491.74,31.24,0
16,01AGU-230,520.92,490.57,30.35,0
17,01AGU-230,530.76,499.97,30.79,0
18,01AGU-230,527.47,497.65,29.83,0
19,01AGU-230,548.18,516.9,31.28,0
20,01AGU-230,562.53,533.1,29.43,0
21,01AGU-230,591.78,561.04,30.74,0
22,01AGU-230,590.37,564.37,26,0
23,01AGU-230,588.32,558.98,29.34,0
24,01AGU-230,591.31,565.63,25.68,0
1,01AGV-85,592.51,560.15,32.36,0
2,01AGV-85,565.75,536.23,29.52,0
3,01AGV-85,563.64,533.71,29.93,0
4,01AGV-85,564.17,533.38,30.79,0
5,01AGV-85,551.28,522.26,29.02,0
6,01AGV-85,553.35,523.28,30.07,0
7,01AGV-85,553.3,523.06,30.24,0
8,01AGV-85,551.29,520.16,31.12,0
9,01AGV-85,548.96,516.48,33.19,-.71
10,01AGV-85,528.64,495.48,33.15,.01
11,01AGV-85,518.25,483.94,34.3,0
12,01AGV-85,520.7,485.53,35.17,0
13,01AGV-85,529.97,492.8,37.17,0
14,01AGV-85,529.56,492.57,36.98,0
15,01AGV-85,527.89,491.74,36.15,0
