Centro Nacional de Control de Energia
Precios Marginales Locales del MDA 
Sistema Interconectado Nacional
Reporte diario
Fecha: 07/Septiembre/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 06/Septiembre/2020 14:50:18 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
1,01AAN-85,592.02,542.14,49.88,0
2,01AAN-85,584.93,536.39,48.53,0
3,01AAN-85,577.38,531.47,45.92,0
4,01AAN-85,568.25,523.79,44.46,0
5,01AAN-85,569.74,524.2,45.55,0
6,01AAN-85,568.17,523.47,44.69,0
7,01AAN-85,585.87,536.97,48.91,0
8,01AAN-85,609.12,558.2,50.93,0
9,01AAN-85,615.91,561.35,54.56,0
10,01AAN-85,614.64,557.61,57.86,-.83
11,01AAN-85,584.58,534.1,55.6,-5.11
12,01AAN-85,609.55,551.94,57.61,0
13,01AAN-85,619.28,561.62,57.65,0
14,01AAN-85,623.37,566.08,57.29,0
15,01AAN-85,628.51,571.12,57.38,0
16,01AAN-85,619.47,562.2,57.28,0
17,01AAN-85,638.01,579.33,58.68,0
18,01AAN-85,663.23,601.72,61.51,0
19,01AAN-85,648.02,589.2,58.83,0
20,01AAN-85,647.45,588.69,58.76,0
21,01AAN-85,687.83,617.16,70.67,0
22,01AAN-85,690.94,620.13,70.81,0
23,01AAN-85,670,605.33,64.67,0
24,01AAN-85,664.22,604.17,60.05,0
1,01AAP-85,577.11,542.14,34.97,0
2,01AAP-85,570.17,536.39,33.78,0
3,01AAP-85,565.28,531.47,33.81,0
4,01AAP-85,557.47,523.79,33.68,0
5,01AAP-85,558.38,524.2,34.18,0
6,01AAP-85,557.41,523.47,33.94,0
7,01AAP-85,572.5,536.97,35.54,0
8,01AAP-85,593.53,558.2,35.33,0
9,01AAP-85,599.58,561.35,38.23,0
10,01AAP-85,602.77,557.61,38.74,6.42
11,01AAP-85,610.89,534.1,37.08,39.72
12,01AAP-85,590.81,551.94,38.87,0
13,01AAP-85,600.14,561.62,38.52,0
14,01AAP-85,604.17,566.08,38.09,0
15,01AAP-85,609.05,571.12,37.92,0
16,01AAP-85,600.14,562.2,37.94,0
17,01AAP-85,618.77,579.33,39.43,0
18,01AAP-85,642.27,601.72,40.55,0
19,01AAP-85,629.23,589.2,40.04,0
20,01AAP-85,628.21,588.69,39.52,0
21,01AAP-85,661.38,617.16,44.23,0
22,01AAP-85,662.88,620.13,42.75,0
23,01AAP-85,645.02,605.33,39.69,0
24,01AAP-85,642.35,604.17,38.18,0
1,01ACC-85,570.03,542.14,27.89,0
2,01ACC-85,564.02,536.39,27.63,0
3,01ACC-85,558.34,531.47,26.87,0
4,01ACC-85,550.61,523.79,26.82,0
5,01ACC-85,551.28,524.2,27.09,0
6,01ACC-85,550.2,523.47,26.72,0
7,01ACC-85,564.83,536.97,27.87,0
8,01ACC-85,585.76,558.2,27.56,0
9,01ACC-85,590.75,561.35,29.41,0
10,01ACC-85,594.03,557.61,30.1,6.32
11,01ACC-85,602.07,534.1,28.84,39.13
12,01ACC-85,581.94,551.94,30,0
13,01ACC-85,591.25,561.62,29.63,0
14,01ACC-85,595.31,566.08,29.24,0
15,01ACC-85,600.08,571.12,28.95,0
16,01ACC-85,591.32,562.2,29.12,0
17,01ACC-85,609.87,579.33,30.53,0
18,01ACC-85,633.35,601.72,31.63,0
19,01ACC-85,619.68,589.2,30.48,0
